date	commit	tok_s	stddev	min	max	ttft_s	ready_s	cold_ttft_s	peak_rss_mib	quiet	runs	req	ctx	max_tok	model	subject
2026-08-08	5413b1ad+dirty	138.87	0.62	NA	NA	NA	NA	NA	1976	yes	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	112.52	12.61	NA	NA	NA	NA	NA	1613	unknown(sd=12.61)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	63.39	14.09	NA	NA	NA	NA	NA	1572	NO(625%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	94.81	7.98	NA	NA	NA	NA	NA	1792	NO(754%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	81.07	24.90	NA	NA	NA	NA	NA	1746	NO(701%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	123.17	4.16	NA	NA	NA	NA	NA	1611	NO(493%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	67.74	6.80	NA	NA	NA	NA	NA	1461	NO(751%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	131.69	5.08	NA	NA	NA	NA	NA	1602	yes	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	130.07	5.66	NA	NA	NA	NA	NA	1536	yes	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	133.98	1.65	NA	NA	NA	NA	NA	1610	yes	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	20f6b1f2+dirty	82.38	8.63	75.88	96.54	10.38	6.63	17.07	1944	NO(400%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	bench(nue): a bench/ tree with gated harnesses and a quality
2026-08-09	20f6b1f2+dirty	80.03	6.65	69.60	85.65	9.80	5.94	15.62	2023	NO(350%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	bench(nue): a bench/ tree with gated harnesses and a quality
2026-08-09	20f6b1f2+dirty	98.84	5.64	89.20	102.61	8.54	6.76	15.31	2017	NO(323%)	3	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	bench(nue): a bench/ tree with gated harnesses and a quality
2026-08-09	20f6b1f2+dirty	110.42	0.00	110.42	110.42	7.22	5.93	13.16	1722	yes	1	3	4096	808	qwen2.5-0.5b-instruct-q5_k_m.gguf	bench(nue): a bench/ tree with gated harnesses and a quality
