date	commit	tok_s	stddev	peak_rss_mib	quiet	model	subject
2026-08-08	5413b1ad+dirty	138.87	0.62	1976	yes	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	112.52	12.61	1613	unknown(sd=12.61)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	63.39	14.09	1572	NO(625%)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	94.81	7.98	1792	NO(754%)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	81.07	24.90	1746	NO(701%)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	123.17	4.16	1611	NO(493%)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	67.74	6.80	1461	NO(751%)	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	131.69	5.08	1602	yes	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	130.07	5.66	1536	yes	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
2026-08-09	5413b1ad+dirty	133.98	1.65	1610	yes	qwen2.5-0.5b-instruct-q5_k_m.gguf	revert(bench): drop the cache clear from run_bundle.sh — pre
